start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,connections,start station latitude
379,W 31 St & 7 Ave,407491,-739916,472,E 32 St & Park Ave,407457,-739819,50,407491
492,W 33 St & 7 Ave,407501,-739909,472,E 32 St & Park Ave,407457,-739819,50,407501
479,9 Ave & W 45 St,407601,-739912,318,E 43 St & Vanderbilt Ave,407532,-739779,50,407601
529,W 42 St & 8 Ave,407575,-739909,318,E 43 St & Vanderbilt Ave,407532,-739779,50,407575
519,Pershing Square N,407518,-739777,501,FDR Drive & E 35 St,407442,-739712,50,407518
426,West St & Chambers St,407175,-740132,329,Greenwich St & N Moore St,407204,-740102,50,407175
379,W 31 St & 7 Ave,407491,-739916,537,Lexington Ave & E 24 St,407402,-739840,50,407491
195,Liberty St & Broadway,407090,-740104,264,Maiden Ln & Pearl St,407070,-740073,50,407090
446,W 24 St & 7 Ave,407448,-739952,388,W 26 St & 10 Ave,407497,-740029,50,407448
476,E 31 St & 3 Ave,407439,-739796,379,W 31 St & 7 Ave,407491,-739916,50,407439
293,Lafayette St & E 8 St,407302,-739907,380,W 4 St & 7 Ave S,407340,-740029,50,407302
504,1 Ave & E 15 St,407322,-739816,536,1 Ave & E 30 St,407414,-739753,49,407322
519,Pershing Square N,407518,-739777,528,2 Ave & E 31 St,407429,-739770,49,407518
463,9 Ave & W 16 St,407420,-740044,521,8 Ave & W 31 St,407504,-739948,49,407420
509,9 Ave & W 22 St,407454,-740019,463,9 Ave & W 16 St,407420,-740044,49,407454
527,E 33 St & 1 Ave,407431,-739743,498,Broadway & W 32 St,407485,-739880,49,407431
492,W 33 St & 7 Ave,407501,-739909,527,E 33 St & 1 Ave,407431,-739743,49,407501
173,Broadway & W 49 St,407606,-739844,359,E 47 St & Park Ave,407551,-739749,49,407606
387,Centre St & Chambers St,407127,-740046,147,Greenwich St & Warren St,407154,-740112,49,407127
326,E 11 St & 1 Ave,407295,-739842,293,Lafayette St & E 8 St,407302,-739907,49,407295
477,W 41 St & 8 Ave,407564,-739900,517,Pershing Square S,407514,-739779,49,407564
336,Sullivan St & Washington Sq,407304,-739990,382,University Pl & E 14 St,407349,-739920,49,407304
442,W 27 St & 7 Ave,407466,-739939,523,W 38 St & 8 Ave,407546,-739913,49,407466
510,W 51 St & 6 Ave,407606,-739804,477,W 41 St & 8 Ave,407564,-739900,49,407606
147,Greenwich St & Warren St,407154,-740112,363,West Thames St,407083,-740171,49,407154
426,West St & Chambers St,407175,-740132,127,Barrow St & Hudson St,407317,-740067,48,407175
239,Willoughby St & Fleet St,406919,-739813,366,Clinton Ave & Myrtle Ave,406932,-739688,48,406919
285,Broadway & E 14 St,407345,-739907,326,E 11 St & 1 Ave,407295,-739842,48,407345
2003,1 Ave & E 18 St,407341,-739802,297,E 15 St & 3 Ave,407342,-739869,48,407341
519,Pershing Square N,407518,-739777,546,E 30 St & Park Ave S,407444,-739830,48,407518
477,W 41 St & 8 Ave,407564,-739900,359,E 47 St & Park Ave,407551,-739749,48,407564
350,Clinton St & Grand St,407155,-739870,502,Henry St & Grand St,407142,-739813,48,407155
366,Clinton Ave & Myrtle Ave,406932,-739688,323,Lawrence St & Willoughby St,406923,-739863,48,406932
453,W 22 St & 8 Ave,407447,-739991,462,W 22 St & 10 Ave,407469,-740045,48,407447
446,W 24 St & 7 Ave,407448,-739952,462,W 22 St & 10 Ave,407469,-740045,48,407448
518,E 39 St & 2 Ave,407478,-739734,477,W 41 St & 8 Ave,407564,-739900,48,407478
477,W 41 St & 8 Ave,407564,-739900,478,11 Ave & W 41 St,407603,-739988,47,407564
284,Greenwich Ave & 8 Ave,407390,-740026,521,8 Ave & W 31 St,407504,-739948,47,407390
128,MacDougal St & Prince St,407271,-740029,151,Cleveland Pl & Spring St,407218,-739972,47,407271
417,Barclay St & Church St,407129,-740102,306,Cliff St & Fulton St,407082,-740053,47,407129
487,E 20 St & FDR Drive,407331,-739757,297,E 15 St & 3 Ave,407342,-739869,47,407331
379,W 31 St & 7 Ave,407491,-739916,497,E 17 St & Broadway,407370,-739900,47,407491
229,Great Jones St,407274,-739937,301,E 2 St & Avenue B,407221,-739836,47,407274
528,2 Ave & E 31 St,407429,-739770,545,E 23 St & 1 Ave,407365,-739780,47,407429
509,9 Ave & W 22 St,407454,-740019,284,Greenwich Ave & 8 Ave,407390,-740026,47,407454
127,Barrow St & Hudson St,407317,-740067,284,Greenwich Ave & 8 Ave,407390,-740026,47,407317
433,E 13 St & Avenue A,407295,-739805,293,Lafayette St & E 8 St,407302,-739907,47,407295
265,Stanton St & Chrystie St,407222,-739914,410,Suffolk St & Stanton St,407206,-739851,47,407222
285,Broadway & E 14 St,407345,-739907,345,W 13 St & 6 Ave,407364,-739970,47,407345
435,W 21 St & 6 Ave,407417,-739941,470,W 20 St & 8 Ave,407434,-740000,47,407417
453,W 22 St & 8 Ave,407447,-739991,435,W 21 St & 6 Ave,407417,-739941,47,407447
284,Greenwich Ave & 8 Ave,407390,-740026,453,W 22 St & 8 Ave,407447,-739991,47,407390
483,E 12 St & 3 Ave,407322,-739888,335,Washington Pl & Broadway,407290,-739940,47,407322
212,W 16 St & The High Line,407433,-740068,521,8 Ave & W 31 St,407504,-739948,46,407433
468,Broadway & W 55 St,407652,-739819,173,Broadway & W 49 St,407606,-739844,46,407652
293,Lafayette St & E 8 St,407302,-739907,358,Christopher St & Greenwich St,407329,-740071,46,407302
293,Lafayette St & E 8 St,407302,-739907,151,Cleveland Pl & Spring St,407218,-739972,46,407302
263,Elizabeth St & Hester St,407172,-739963,342,Columbia St & Rivington St,407173,-739801,46,407172
293,Lafayette St & E 8 St,407302,-739907,433,E 13 St & Avenue A,407295,-739805,46,407302
379,W 31 St & 7 Ave,407491,-739916,476,E 31 St & 3 Ave,407439,-739796,46,407491
492,W 33 St & 7 Ave,407501,-739909,153,E 40 St & 5 Ave,407520,-739816,46,407501
309,Murray St & West St,407149,-740130,376,John St & William St,407086,-740072,46,407149
472,E 32 St & Park Ave,407457,-739819,519,Pershing Square N,407518,-739777,46,407457
380,W 4 St & 7 Ave S,407340,-740029,382,University Pl & E 14 St,407349,-739920,46,407340
435,W 21 St & 6 Ave,407417,-739941,482,W 15 St & 7 Ave,407393,-739993,46,407417
536,1 Ave & E 30 St,407414,-739753,379,W 31 St & 7 Ave,407491,-739916,46,407414
484,W 44 St & 5 Ave,407550,-739801,477,W 41 St & 8 Ave,407564,-739900,46,407550
368,Carmine St & 6 Ave,407303,-740021,347,W Houston St & Hudson St,407287,-740074,46,407303
459,W 20 St & 11 Ave,407467,-740077,521,8 Ave & W 31 St,407504,-739948,45,407467
490,8 Ave & W 33 St,407515,-739939,447,8 Ave & W 52 St,407637,-739851,45,407515
324,DeKalb Ave & Hudson Ave,406898,-739810,270,Adelphi St & Myrtle Ave,406930,-739717,45,406898
224,Spruce St & Nassau St,407114,-740055,306,Cliff St & Fulton St,407082,-740053,45,407114
503,E 20 St & Park Ave,407382,-739875,461,E 20 St & 2 Ave,407358,-739820,45,407382
422,W 59 St & 10 Ave,407705,-739880,318,E 43 St & Vanderbilt Ave,407532,-739779,45,407705
477,W 41 St & 8 Ave,407564,-739900,522,E 51 St & Lexington Ave,407571,-739720,45,407564
499,Broadway & W 60 St,407691,-739819,281,Grand Army Plaza & Central Park S,407643,-739737,45,407691
391,Clark St & Henry St,406976,-739934,157,Henry St & Atlantic Ave,406908,-739961,45,406976
497,E 17 St & Broadway,407370,-739900,293,Lafayette St & E 8 St,407302,-739907,45,407370
519,Pershing Square N,407518,-739777,540,Lexington Ave & E 26 St,407414,-739832,45,407518
398,Atlantic Ave & Furman St,406916,-739999,217,Old Fulton St,407027,-739938,45,406916
505,6 Ave & W 33 St,407490,-739884,519,Pershing Square N,407518,-739777,45,407490
237,E 11 St & 2 Ave,407304,-739867,345,W 13 St & 6 Ave,407364,-739970,45,407304
293,Lafayette St & E 8 St,407302,-739907,345,W 13 St & 6 Ave,407364,-739970,45,407302
382,University Pl & E 14 St,407349,-739920,223,W 13 St & 7 Ave,407378,-739999,45,407349
345,W 13 St & 6 Ave,407364,-739970,435,W 21 St & 6 Ave,407417,-739941,45,407364
402,Broadway & E 22 St,407403,-739895,379,W 31 St & 7 Ave,407491,-739916,45,407403
440,E 45 St & 3 Ave,407525,-739728,477,W 41 St & 8 Ave,407564,-739900,45,407525
435,W 21 St & 6 Ave,407417,-739941,477,W 41 St & 8 Ave,407564,-739900,45,407417
363,West Thames St,407083,-740171,426,West St & Chambers St,407175,-740132,45,407083
494,W 26 St & 8 Ave,407473,-739972,489,10 Ave & W 28 St,407506,-740017,44,407473
309,Murray St & West St,407149,-740130,387,Centre St & Chambers St,407127,-740046,44,407149
401,Allen St & Rivington St,407201,-739899,151,Cleveland Pl & Spring St,407218,-739972,44,407201
409,DeKalb Ave & Skillman St,406906,-739564,409,DeKalb Ave & Skillman St,406906,-739564,44,406906
285,Broadway & E 14 St,407345,-739907,445,E 10 St & Avenue A,407274,-739814,44,407345
511,E 14 St & Avenue B,407293,-739777,297,E 15 St & 3 Ave,407342,-739869,44,407293
2003,1 Ave & E 18 St,407341,-739802,497,E 17 St & Broadway,407370,-739900,44,407341
151,Cleveland Pl & Spring St,407218,-739972,128,MacDougal St & Prince St,407271,-740029,44,407218
417,Barclay St & Church St,407129,-740102,264,Maiden Ln & Pearl St,407070,-740073,44,407129
368,Carmine St & 6 Ave,407303,-740021,375,Mercer St & Bleecker St,407267,-739969,44,407303
460,S 4 St & Wythe Ave,407128,-739659,539,Metropolitan Ave & Bedford Ave,407153,-739602,44,407128
376,John St & William St,407086,-740072,309,Murray St & West St,407149,-740130,44,407086
492,W 33 St & 7 Ave,407501,-739909,517,Pershing Square S,407514,-739779,44,407501
329,Greenwich St & N Moore St,407204,-740102,327,Vesey Pl & River Terrace,407153,-740165,44,407204
513,W 56 St & 10 Ave,407682,-739886,479,9 Ave & W 45 St,407601,-739912,43,407682
285,Broadway & E 14 St,407345,-739907,433,E 13 St & Avenue A,407295,-739805,43,407345
504,1 Ave & E 15 St,407322,-739816,174,E 25 St & 1 Ave,407381,-739773,43,407322
358,Christopher St & Greenwich St,407329,-740071,284,Greenwich Ave & 8 Ave,407390,-740026,43,407329
380,W 4 St & 7 Ave S,407340,-740029,284,Greenwich Ave & 8 Ave,407390,-740026,43,407340
327,Vesey Pl & River Terrace,407153,-740165,2008,Little West St & 1 Pl,407056,-740167,43,407153
459,W 20 St & 11 Ave,407467,-740077,116,W 17 St & 8 Ave,407417,-740014,43,407467
2003,1 Ave & E 18 St,407341,-739802,435,W 21 St & 6 Ave,407417,-739941,43,407341
382,University Pl & E 14 St,407349,-739920,435,W 21 St & 6 Ave,407417,-739941,43,407349
540,Lexington Ave & E 26 St,407414,-739832,442,W 27 St & 7 Ave,407466,-739939,43,407414
528,2 Ave & E 31 St,407429,-739770,379,W 31 St & 7 Ave,407491,-739916,43,407429
285,Broadway & E 14 St,407345,-739907,294,Washington Square E,407304,-739957,43,407345
264,Maiden Ln & Pearl St,407070,-740073,534,Water - Whitehall Plaza,407025,-740127,43,407070
